DeviceName,EntityId,TsYMD,CH2O,PM2.5,PM10,TVOC,CO2,Temperature,Humidity,Radioactivity,Sound,CO,Stink,NO2,H2S,NH3
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:01:06,55.0,3.0,5.0,2424.0,600.0,22.63,36.52,0.0,41.0,0.69,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:03:06,55.0,3.0,5.0,2421.0,602.0,22.64,36.55,0.0,41.0,0.7,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:05:06,55.0,3.0,5.0,2431.0,598.0,21.28,36.58,0.0,35.0,1.01,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:07:06,55.0,2.0,4.0,2428.0,601.0,21.29,36.63,0.0,42.0,0.58,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:09:06,55.0,3.0,5.0,2441.0,603.0,21.31,36.65,0.0,35.0,0.55,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:11:06,55.0,3.0,5.0,2431.0,601.0,21.31,36.68,0.0,40.0,0.62,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:13:06,55.0,3.0,5.0,2444.0,607.0,22.7,36.7,0.0,42.0,0.67,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:15:06,55.0,3.0,5.0,2460.0,603.0,21.36,36.69,0.0,44.0,0.79,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:17:06,55.0,3.0,5.0,2449.0,603.0,22.74,36.74,0.0,44.0,0.87,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:19:06,55.0,3.0,5.0,2449.0,605.0,22.76,36.79,0.0,47.0,0.66,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:21:06,55.0,3.0,5.0,2454.0,608.0,21.4,36.84,0.0,46.0,0.82,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:23:06,55.0,3.0,5.0,2479.0,612.0,21.4,36.83,0.0,41.0,0.73,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:25:06,55.0,3.0,5.0,2479.0,609.0,22.79,36.84,0.0,54.0,0.84,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:27:06,55.0,3.0,5.0,2465.0,609.0,21.43,36.88,0.0,49.0,0.82,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:29:06,55.0,2.0,4.0,2465.0,612.0,21.44,36.91,0.0,42.0,0.97,0.08,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:31:07,55.0,3.0,5.0,2453.0,612.0,21.45,36.92,0.0,41.0,1.0,0.09,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:33:07,56.0,3.0,5.0,2509.0,613.0,21.46,36.96,0.0,44.0,0.84,0.09,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:35:07,55.0,3.0,5.0,2493.0,612.0,21.46,37.01,0.0,46.0,0.77,0.09,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:37:07,56.0,2.0,4.0,2491.0,613.0,22.85,37.01,0.0,32.0,0.94,0.09,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:39:07,56.0,3.0,5.0,2503.0,617.0,21.48,36.98,0.0,44.0,0.77,0.09,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:41:07,56.0,3.0,5.0,2509.0,617.0,21.48,37.02,0.0,42.0,0.53,0.09,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:43:07,56.0,3.0,5.0,2496.0,619.0,21.49,37.02,0.0,57.0,0.71,0.09,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:45:07,56.0,2.0,4.0,2537.0,617.0,22.88,37.01,0.0,44.0,0.54,0.09,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:47:07,56.0,2.0,4.0,2530.0,616.0,21.51,37.09,0.0,44.0,0.58,0.09,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:49:07,56.0,2.0,4.0,2532.0,619.0,21.53,37.1,0.0,43.0,0.74,0.09,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:51:07,56.0,3.0,5.0,2543.0,620.0,21.52,37.07,0.0,34.0,0.6,0.09,0.01,0.0,0.0
Device 10000008,82bb6800-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:53:07,56.0,3.0,5.0,2544.0,618.0,21.54,37.12,0.0,44.0,0.75,0.09,0.01,0.0,0.0
